Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,elementId,fixedCost,processId,resourceCost,resourceId
60,START,,2025-12-09 10:01:00.000,2025-12-09 10:01:00.000,Variant 1,1,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
60,END,,2025-12-09 10:01:00.000,2025-12-09 10:01:00.000,Variant 1,1,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
61,START,,2025-12-09 10:01:01.000,2025-12-09 10:01:01.000,Variant 3,3,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
61,CHECK DATA BALANCING,Session-000001,2025-12-09 10:01:01.000,2025-12-09 10:01:02.000,Variant 3,3,sid-B48DF955-D774-4256-AEB6-099744469155,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
61,CHECK COVERAGE,Session-000004,2025-12-09 10:01:02.000,2025-12-09 10:01:03.000,Variant 3,3,sid-84855BE7-4A74-4AA7-A950-22E81A38081C,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
61,CONFIGURE INGESTION SYSTEM,Session-000008,2025-12-09 10:01:03.000,2025-12-09 10:01:04.000,Variant 3,3,sid-52FE4380-2098-41C0-BE60-F2DEACC760F5,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
61,CONFIGURE PREPARATION SYSTEM,Session-000002,2025-12-09 10:01:04.000,2025-12-09 10:01:05.000,Variant 3,3,sid-C6B14BB8-F42E-43E5-9A7E-0AA34AA52EE6,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
61,CONFIGURE SEGREGATION SYSTEM,Session-000007,2025-12-09 10:01:05.000,2025-12-09 10:01:06.000,Variant 3,3,sid-1C9C5582-B583-4832-8DEA-4BDBB1AF9F15,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
61,CONFIGURE DEVELOPMENT SYSTEM,Session-000002,2025-12-09 10:01:06.000,2025-12-09 10:01:07.000,Variant 3,3,sid-AB394422-8628-4377-B7B8-A25A46935C63,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
61,CONFIGURE CLASSIFICATION SYSTEM,Session-000006,2025-12-09 10:01:07.000,2025-12-09 10:01:08.000,Variant 3,3,sid-50D70578-9920-4164-BA4D-ED2DFBC6DFC4,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
61,CONFIGURE EVALUATION SYSTEM,Session-000010,2025-12-09 10:01:08.000,2025-12-09 10:01:09.000,Variant 3,3,sid-8AEFBBF0-A454-4978-9B69-49B3851CF601,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
61,CONFIGURE CLIENT-SIDE SYSTEMS,Session-000004,2025-12-09 10:01:09.000,2025-12-09 10:01:10.000,Variant 3,3,sid-2A6D8261-8FF9-4B37-A6BF-D919D2DFB69B,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
61,END,,2025-12-09 10:01:10.000,2025-12-09 10:01:10.000,Variant 3,3,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
62,START,,2025-12-09 10:01:02.000,2025-12-09 10:01:02.000,Variant 1,1,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
62,END,,2025-12-09 10:01:02.000,2025-12-09 10:01:02.000,Variant 1,1,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
25,START,,2025-12-09 10:00:25.000,2025-12-09 10:00:25.000,Variant 1,1,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
25,END,,2025-12-09 10:00:25.000,2025-12-09 10:00:25.000,Variant 1,1,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
26,START,,2025-12-09 10:00:26.000,2025-12-09 10:00:26.000,Variant 1,1,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
26,END,,2025-12-09 10:00:26.000,2025-12-09 10:00:26.000,Variant 1,1,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
69,START,,2025-12-09 10:01:09.000,2025-12-09 10:01:09.000,Variant 1,1,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
69,END,,2025-12-09 10:01:09.000,2025-12-09 10:01:09.000,Variant 1,1,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
27,START,,2025-12-09 10:00:27.000,2025-12-09 10:00:27.000,Variant 1,1,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
27,END,,2025-12-09 10:00:27.000,2025-12-09 10:00:27.000,Variant 1,1,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
29,START,,2025-12-09 10:00:29.000,2025-12-09 10:00:29.000,Variant 5,5,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
29,EVALUATE CLASSIFIER,Session-000001,2025-12-09 10:00:29.000,2025-12-09 10:00:30.000,Variant 5,5,sid-3F9FCBD8-DDC3-4B0E-83B6-1C5C1C3EAA41,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
29,CONFIGURE INGESTION SYSTEM,Session-000004,2025-12-09 10:00:30.000,2025-12-09 10:00:31.000,Variant 5,5,sid-52FE4380-2098-41C0-BE60-F2DEACC760F5,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
29,CONFIGURE PREPARATION SYSTEM,Session-000007,2025-12-09 10:00:31.000,2025-12-09 10:00:32.000,Variant 5,5,sid-C6B14BB8-F42E-43E5-9A7E-0AA34AA52EE6,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
29,CONFIGURE SEGREGATION SYSTEM,Session-000008,2025-12-09 10:00:32.000,2025-12-09 10:00:33.000,Variant 5,5,sid-1C9C5582-B583-4832-8DEA-4BDBB1AF9F15,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
29,CONFIGURE DEVELOPMENT SYSTEM,Session-000010,2025-12-09 10:00:33.000,2025-12-09 10:00:34.000,Variant 5,5,sid-AB394422-8628-4377-B7B8-A25A46935C63,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
29,CONFIGURE CLASSIFICATION SYSTEM,Session-000002,2025-12-09 10:00:34.000,2025-12-09 10:00:35.000,Variant 5,5,sid-50D70578-9920-4164-BA4D-ED2DFBC6DFC4,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
29,CONFIGURE EVALUATION SYSTEM,Session-000005,2025-12-09 10:00:35.000,2025-12-09 10:00:36.000,Variant 5,5,sid-8AEFBBF0-A454-4978-9B69-49B3851CF601,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
29,CONFIGURE CLIENT-SIDE SYSTEMS,Session-000008,2025-12-09 10:00:36.000,2025-12-09 10:00:37.000,Variant 5,5,sid-2A6D8261-8FF9-4B37-A6BF-D919D2DFB69B,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
29,END,,2025-12-09 10:00:37.000,2025-12-09 10:00:37.000,Variant 5,5,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
28,START,,2025-12-09 10:00:28.000,2025-12-09 10:00:28.000,Variant 1,1,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
28,END,,2025-12-09 10:00:28.000,2025-12-09 10:00:28.000,Variant 1,1,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
7,START,,2025-12-09 10:00:07.000,2025-12-09 10:00:07.000,Variant 2,2,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
7,CHECK DATA BALANCING,Session-000010,2025-12-09 10:00:07.000,2025-12-09 10:00:08.000,Variant 2,2,sid-B48DF955-D774-4256-AEB6-099744469155,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
7,CONFIGURE INGESTION SYSTEM,Session-000004,2025-12-09 10:00:08.000,2025-12-09 10:00:09.000,Variant 2,2,sid-52FE4380-2098-41C0-BE60-F2DEACC760F5,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
7,CONFIGURE PREPARATION SYSTEM,Session-000008,2025-12-09 10:00:09.000,2025-12-09 10:00:10.000,Variant 2,2,sid-C6B14BB8-F42E-43E5-9A7E-0AA34AA52EE6,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
7,CONFIGURE SEGREGATION SYSTEM,Session-000003,2025-12-09 10:00:10.000,2025-12-09 10:00:11.000,Variant 2,2,sid-1C9C5582-B583-4832-8DEA-4BDBB1AF9F15,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
7,CONFIGURE DEVELOPMENT SYSTEM,Session-000009,2025-12-09 10:00:11.000,2025-12-09 10:00:12.000,Variant 2,2,sid-AB394422-8628-4377-B7B8-A25A46935C63,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
7,CONFIGURE CLASSIFICATION SYSTEM,Session-000006,2025-12-09 10:00:12.000,2025-12-09 10:00:13.000,Variant 2,2,sid-50D70578-9920-4164-BA4D-ED2DFBC6DFC4,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
7,CONFIGURE EVALUATION SYSTEM,Session-000002,2025-12-09 10:00:13.000,2025-12-09 10:00:14.000,Variant 2,2,sid-8AEFBBF0-A454-4978-9B69-49B3851CF601,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
7,CONFIGURE CLIENT-SIDE SYSTEMS,Session-000007,2025-12-09 10:00:14.000,2025-12-09 10:00:15.000,Variant 2,2,sid-2A6D8261-8FF9-4B37-A6BF-D919D2DFB69B,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
7,END,,2025-12-09 10:00:15.000,2025-12-09 10:00:15.000,Variant 2,2,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
6,START,,2025-12-09 10:00:06.000,2025-12-09 10:00:06.000,Variant 3,3,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
6,CHECK DATA BALANCING,Session-000007,2025-12-09 10:00:06.000,2025-12-09 10:00:07.000,Variant 3,3,sid-B48DF955-D774-4256-AEB6-099744469155,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
6,CHECK COVERAGE,Session-000001,2025-12-09 10:00:07.000,2025-12-09 10:00:08.000,Variant 3,3,sid-84855BE7-4A74-4AA7-A950-22E81A38081C,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
6,CONFIGURE INGESTION SYSTEM,Session-000005,2025-12-09 10:00:08.000,2025-12-09 10:00:09.000,Variant 3,3,sid-52FE4380-2098-41C0-BE60-F2DEACC760F5,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
6,CONFIGURE PREPARATION SYSTEM,Session-000009,2025-12-09 10:00:09.000,2025-12-09 10:00:10.000,Variant 3,3,sid-C6B14BB8-F42E-43E5-9A7E-0AA34AA52EE6,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
6,CONFIGURE SEGREGATION SYSTEM,Session-000004,2025-12-09 10:00:10.000,2025-12-09 10:00:11.000,Variant 3,3,sid-1C9C5582-B583-4832-8DEA-4BDBB1AF9F15,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
6,CONFIGURE DEVELOPMENT SYSTEM,Session-000010,2025-12-09 10:00:11.000,2025-12-09 10:00:12.000,Variant 3,3,sid-AB394422-8628-4377-B7B8-A25A46935C63,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
6,CONFIGURE CLASSIFICATION SYSTEM,Session-000007,2025-12-09 10:00:12.000,2025-12-09 10:00:13.000,Variant 3,3,sid-50D70578-9920-4164-BA4D-ED2DFBC6DFC4,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
6,CONFIGURE EVALUATION SYSTEM,Session-000003,2025-12-09 10:00:13.000,2025-12-09 10:00:14.000,Variant 3,3,sid-8AEFBBF0-A454-4978-9B69-49B3851CF601,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
6,CONFIGURE CLIENT-SIDE SYSTEMS,Session-000008,2025-12-09 10:00:14.000,2025-12-09 10:00:15.000,Variant 3,3,sid-2A6D8261-8FF9-4B37-A6BF-D919D2DFB69B,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
6,END,,2025-12-09 10:00:15.000,2025-12-09 10:00:15.000,Variant 3,3,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
8,START,,2025-12-09 10:00:08.000,2025-12-09 10:00:08.000,Variant 1,1,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
8,END,,2025-12-09 10:00:08.000,2025-12-09 10:00:08.000,Variant 1,1,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
9,START,,2025-12-09 10:00:09.000,2025-12-09 10:00:09.000,Variant 1,1,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
9,END,,2025-12-09 10:00:09.000,2025-12-09 10:00:09.000,Variant 1,1,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
91,START,,2025-12-09 10:01:31.000,2025-12-09 10:01:31.000,Variant 1,1,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
91,END,,2025-12-09 10:01:31.000,2025-12-09 10:01:31.000,Variant 1,1,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
92,START,,2025-12-09 10:01:32.000,2025-12-09 10:01:32.000,Variant 6,6,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
92,CHECK DATA BALANCING,Session-000001,2025-12-09 10:01:32.000,2025-12-09 10:01:33.000,Variant 6,6,sid-B48DF955-D774-4256-AEB6-099744469155,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CHECK COVERAGE,Session-000006,2025-12-09 10:01:33.000,2025-12-09 10:01:34.000,Variant 6,6,sid-84855BE7-4A74-4AA7-A950-22E81A38081C,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,SET NUMBER OF ITERATIONS,Session-000009,2025-12-09 10:01:34.000,2025-12-09 10:01:35.000,Variant 6,6,sid-7D343CDC-849C-4479-9343-9EF1E02C5042,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CHECK VALIDATION RESULTS,Session-000002,2025-12-09 10:01:35.000,2025-12-09 10:01:36.000,Variant 6,6,sid-CDCECFDC-6D1A-4D0D-AC63-4678A965EE2D,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,SET NUMBER OF ITERATIONS,Session-000005,2025-12-09 10:01:36.000,2025-12-09 10:01:37.000,Variant 6,6,sid-7D343CDC-849C-4479-9343-9EF1E02C5042,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CHECK VALIDATION RESULTS,Session-000007,2025-12-09 10:01:37.000,2025-12-09 10:01:38.000,Variant 6,6,sid-CDCECFDC-6D1A-4D0D-AC63-4678A965EE2D,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,SET NUMBER OF ITERATIONS,Session-000009,2025-12-09 10:01:38.000,2025-12-09 10:01:39.000,Variant 6,6,sid-7D343CDC-849C-4479-9343-9EF1E02C5042,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CHECK VALIDATION RESULTS,Session-000002,2025-12-09 10:01:39.000,2025-12-09 10:01:40.000,Variant 6,6,sid-CDCECFDC-6D1A-4D0D-AC63-4678A965EE2D,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CHECK TEST RESULTS,Session-000004,2025-12-09 10:01:40.000,2025-12-09 10:01:41.000,Variant 6,6,sid-3F3477CA-2154-443D-990D-BA61AA0EEDD2,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CONFIGURE INGESTION SYSTEM,Session-000006,2025-12-09 10:01:41.000,2025-12-09 10:01:42.000,Variant 6,6,sid-52FE4380-2098-41C0-BE60-F2DEACC760F5,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CONFIGURE PREPARATION SYSTEM,Session-000008,2025-12-09 10:01:42.000,2025-12-09 10:01:43.000,Variant 6,6,sid-C6B14BB8-F42E-43E5-9A7E-0AA34AA52EE6,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CONFIGURE SEGREGATION SYSTEM,Session-000009,2025-12-09 10:01:43.000,2025-12-09 10:01:44.000,Variant 6,6,sid-1C9C5582-B583-4832-8DEA-4BDBB1AF9F15,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CONFIGURE DEVELOPMENT SYSTEM,Session-000010,2025-12-09 10:01:44.000,2025-12-09 10:01:45.000,Variant 6,6,sid-AB394422-8628-4377-B7B8-A25A46935C63,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CONFIGURE CLASSIFICATION SYSTEM,Session-000001,2025-12-09 10:01:45.000,2025-12-09 10:01:46.000,Variant 6,6,sid-50D70578-9920-4164-BA4D-ED2DFBC6DFC4,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CONFIGURE EVALUATION SYSTEM,Session-000002,2025-12-09 10:01:46.000,2025-12-09 10:01:47.000,Variant 6,6,sid-8AEFBBF0-A454-4978-9B69-49B3851CF601,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,CONFIGURE CLIENT-SIDE SYSTEMS,Session-000003,2025-12-09 10:01:47.000,2025-12-09 10:01:48.000,Variant 6,6,sid-2A6D8261-8FF9-4B37-A6BF-D919D2DFB69B,1.0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,0.0,QBP_DEFAULT_RESOURCE
92,END,,2025-12-09 10:01:48.000,2025-12-09 10:01:48.000,Variant 6,6,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
0,START,,2025-12-09 10:00:00.000,2025-12-09 10:00:00.000,Variant 1,1,sid-7E063660-AF89-4E86-906B-E703580F1C75,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,,
